Line,1C_GS,Total,Percent_180,Percent_TR-1,Percent_CentC,Percent_TE,Percent_CRM
RIMMA0416.1,3,1422286,5.034078941,0.229770946,0.227450738,0.624816668,0.918029145
RIMMA0417.1,2.885,1690731,3.877849285,0.363097382,0.21310309,0.632083401,0.721581375
RIMMA0418.1,2.925,1032768,6.128772386,0.425749055,0.34867463,0.638261449,0.953747599
RIMMA0421.1,2.715,1617869,2.873223975,0.108414216,0.319927015,0.661897224,0.800991922
RIMMA0422.1,3.01,1076103,8.015032018,0.3859296,0.221818915,0.608893387,0.744817178
RIMMA0423.1,3.32,1118853,4.323356151,0.479151417,0.47191186,0.627497982,0.986367289
RIMMA0424.1,2.695,1417181,3.103132204,0.343851632,0.301302374,0.631108518,0.842517646
RIMMA0425.1,2.98,1898993,3.145719863,0.30163355,0.28004316,0.653208306,0.805216238
RIMMA0614.1,3.04,899435,7.724738308,0.124411436,0.248044606,0.622906602,0.725233063
RIMMA0616.1,3.105,1158575,7.274971409,0.584511145,0.296657532,0.64637162,0.958418747
RIMMA0620.1,2.99,734923,7.56310525,0.652721442,0.234854536,0.621558993,0.798723132
RIMMA0621.1,3.015,807700,8.183112542,0.778754488,0.312863687,0.649124675,0.940695803
RIMMA0623.1,2.76,972524,2.342152996,0.221279886,0.240508203,0.644869433,0.954320922
RIMMA0625.1,2.675,142941,2.929180571,0.175596925,0.188889122,0.623243156,0.922058752
RIMMA0626.2,2.775,1058071,1.758766661,0.265294106,0.328333354,0.627803805,0.823007152
RIMMA0630.1,2.66,904416,2.287221809,0.058933057,0.336349644,0.660611931,1.0359171
RIMMA0670.1,NA,1242052,1.911272636,0.130107274,0.268587789,0.656367044,0.921620029
RIMMA0671.1,2.86,981832,5.674596061,0.314208541,0.207265601,0.622621793,0.708777062
RIMMA0672.1,NA,761857,7.273412202,0.324339082,0.319876302,0.628321325,0.777179969
RIMMA0674.1,2.7,1711764,2.898997759,0.267268151,0.360505303,0.658414361,1.04243342
RIMMA0677.1,NA,1366258,7.733824797,0.239047091,0.281864772,0.601966832,0.797213996
RIMMA0680.1,3.175,1144660,10.02638338,0.58864641,0.33206367,0.595485996,0.761623539
RIMMA0682.1,NA,1544522,6.833182046,0.440783621,0.310516781,0.607905876,0.790341607
RIMMA0687.1,NA,967178,8.496884751,0.783309794,0.268202957,0.626088476,0.771005958
RIMME0021_C1.1,3.0325,333912,11.81598745,1.195524569,0.324636431,0.610196699,0.735822612
RIMME0021_C10.1,3.0325,1264362,8.982395864,0.910656916,0.306557774,0.614233898,0.786404527
RIMME0021_C11.1,3.0325,1041100,8.370761694,0.559216214,0.355297282,0.618485256,0.773220632
RIMME0021_C12.1,3.0325,1288113,10.04787623,0.827411881,0.379392181,0.624684325,0.769420074
RIMME0021_C13.1,3.0325,1275469,11.43571502,0.901550724,0.392483079,0.61898878,0.767796003
RIMME0021_C14.1,3.0325,970340,8.294824495,0.896592947,0.321845951,0.623294928,0.767359894
RIMME0021_C2.1,3.0325,697673,10.2616842,1.161432362,0.383417446,0.617802323,0.815711659
RIMME0021_C3.1,3.0325,1147827,8.619852992,0.673533555,0.408075433,0.636982751,0.906582612
RIMME0021_C4.1,3.0325,1252163,9.485106971,0.685374029,0.35131209,0.622783935,0.796142355
RIMME0021_C6.1,3.0325,808933,9.010758617,0.721196935,0.393852148,0.616679008,0.807854297
RIMME0021_C7.1,3.0325,614295,10.4690743,1.1680056,0.277553944,0.61176145,0.74882589
RIMME0021_C9.1,3.0325,1027238,9.076085581,0.672190865,0.371384236,0.615541871,0.783460113
RIMME0026_C10.1,3.08,64653,11.19360277,0.361932161,NA,0.608958594,0.70375698
RIMME0026_C11.1,3.08,714758,10.40841795,0.24777617,0.308216207,0.625713878,0.767252693
RIMME0026_C12.1,3.08,796807,9.397884306,0.410764464,0.335589421,0.619516395,0.798938764
RIMME0026_C14.1,3.08,800638,10.73531359,0.313999585,0.358838826,0.611647211,0.751026057
RIMME0026_C15.1,3.08,957083,10.03779192,0.419294878,0.294227355,0.63824872,0.920714295
RIMME0026_C3.1,3.08,1412187,11.39502063,0.24486842,0.265333132,0.597025748,0.784669452
RIMME0026_C4.1,3.08,880307,11.0009349,0.206291669,0.265929954,0.602907849,0.749397653
RIMME0026_C5.1,3.08,1353627,9.751135283,0.2576042,0.359774148,0.603140304,0.792241881
RIMME0026_C6.1,3.08,1378462,8.772458,0.329642747,0.287059056,0.632125514,0.810903746
RIMME0026_C7.1,3.08,767276,8.443897633,0.170212544,0.287510622,0.623716889,0.766999098
RIMME0026_C8.1,3.08,1018989,11.68933129,0.324046678,0.347501298,0.598839634,0.786956483
RIMME0026_C9.1,3.08,860403,9.806916061,0.184913349,0.314155111,0.615918355,0.771498937
RIMME0028.1,2.795,1377610,10.57512649,1.113522695,0.398516271,0.640294423,0.944606964
RIMME0028.10,2.795,1955078,8.926600371,0.870042014,0.452360468,0.644277108,0.818995457
RIMME0028.13,2.795,1908881,9.554498159,1.191640548,0.318563598,0.617515183,0.929445052
RIMME0028.14,2.795,2097716,7.159167399,0.685888843,0.324924823,0.646367287,0.771267417
RIMME0028.2,2.795,389277,7.723549041,0.776054069,0.399972256,0.649961339,0.952535084
RIMME0028.3,2.795,1461399,8.841664734,0.982551651,0.418160954,0.637064895,0.969960976
RIMME0028.4,2.795,1506374,7.350631384,0.995967801,0.354891946,0.622620279,0.969347586
RIMME0028.5,2.795,1504357,7.627511289,1.237671643,0.437263229,0.64021572,0.970048998
RIMME0028.6,2.795,1133323,7.21109516,0.636094035,0.289767348,0.63922024,1.010656274
RIMME0028.7,2.795,2068048,4.431618608,0.608883353,0.329827934,0.640107967,0.849400014
RIMME0028.8,2.795,1634948,9.299317165,0.935748415,0.358665841,0.637431282,0.915197303
RIMME0028.9,2.795,932238,8.286725064,0.483031157,0.378444131,0.63994924,1.014440518
RIMME0029.1,2.76,892802,6.870168302,0.712812023,0.341173071,0.633826985,0.864581397
RIMME0029.10,2.76,586242,5.997693785,0.623633244,0.302605409,0.612182341,0.985599803
RIMME0029.11,2.76,1448867,6.124992839,0.497147081,0.373050114,0.634001603,1.003473749
RIMME0029.12,2.76,495210,5.414874498,0.688394822,0.333595848,0.632400396,0.834191555
RIMME0029.13,2.76,1315198,5.842086135,0.58987316,0.39119585,0.616710184,1.058928009
RIMME0029.14,2.76,1551851,4.38270169,0.775074411,0.382124315,0.627613089,1.019621085
RIMME0029.2,2.76,320575,7.04546518,0.381813928,0.330031974,0.631739842,1.015986899
RIMME0029.3,2.76,1083059,4.676199542,0.724152608,0.407549358,0.628207697,0.855724388
RIMME0029.4,2.76,835882,3.828411187,0.446833405,0.328276001,0.63907585,0.848804018
RIMME0029.6,2.76,44466,7.041334953,0.470022039,0.37331894,0.631921018,0.96703099
RIMME0029.8,2.76,950578,4.210385681,0.811295864,0.354941941,0.626590348,1.035896055
RIMME0029.9,2.76,802812,6.283040114,0.655570669,0.390502384,0.621079406,0.883145743
RIMME0030.1,2.945,1394454,8.748298617,0.44038742,0.317041652,0.615964385,0.912041559
RIMME0030.11,2.945,1620083,11.59280111,0.323934021,0.302391914,0.631063964,0.915385199
RIMME0030.12,2.945,1013343,10.18411338,0.361476815,0.371937241,0.628273941,0.779696509
RIMME0030.13,2.945,1012793,8.865977549,0.434639655,0.355057746,0.630720197,0.773307082
RIMME0030.14,2.945,1377273,11.75111979,0.208891048,0.379009826,0.627649711,0.91310873
RIMME0030.2,2.945,1635650,9.926573533,0.263259255,0.316265705,0.621746706,0.884969278
RIMME0030.4,2.945,1616907,10.35514102,0.307562525,0.397363608,0.640816695,0.942602141
RIMME0030.5,2.945,551020,9.862799898,0.404885485,0.265326122,0.625068056,0.676019019
RIMME0030.6,2.945,1793096,8.977600753,0.346049514,0.370978464,0.623396628,0.935588502
RIMME0030.7,2.945,926620,8.456864734,0.379551488,0.351924198,0.634474758,0.773672055
RIMME0030.8,2.945,456406,9.960429968,0.356919059,0.295570172,0.618646556,0.919137785
RIMME0030.9,2.945,1635037,11.41656122,0.4626195,0.351429356,0.63174656,0.902548383
RIMME0031.1,3.1625,1594299,11.47908893,0.252901118,0.384369557,0.638850053,0.784796327
RIMME0031.10,3.1625,833910,12.93844659,0.275449389,0.382415369,0.609016561,0.782698373
RIMME0031.11,3.1625,1249204,14.03197556,0.440440472,0.364632198,0.609418478,0.695883138
RIMME0031.12,3.1625,736276,11.75225051,0.428915244,0.344436054,0.616392494,0.738038453
RIMME0031.2,3.1625,1373681,10.87384917,0.233460316,0.335813045,0.628484342,0.934059654
RIMME0031.3,3.1625,1515980,12.38763044,0.309304872,0.339714244,0.640177311,0.757529783
RIMME0031.4,3.1625,911925,14.49505168,0.713764838,0.325355704,0.612164378,0.73668339
