Line,gsize
RIL0001.1,4.58
RIMMA0381.1,2.795
RIMMA0382.1,3.04
RIMMA0383.1,3.28
RIMMA0384.1,NA
RIMMA0385.1,2.735
RIMMA0386.1,NA
RIMMA0387.1,3.065
RIMMA0388.1,3.32
RIMMA0389.1,3.145
RIMMA0390.1,3.17
RIMMA0391.1B,3.335
RIMMA0392.1,3.385
RIMMA0393.1,3.2
RIMMA0394.2,3.29
RIMMA0395.2,3.425
RIMMA0396.1,3.025
RIMMA0397.1,2.97
RIMMA0398.1,3.335
RIMMA0399.1,3.27
RIMMA0403.2,3.06
RIMMA0404.1,3.17
RIMMA0405.1B,3.17
RIMMA0406.1,3.24
RIMMA0407.1,3.425
RIMMA0409.1,3.11
RIMMA0410.1B,3.47
RIMMA0415.1,3.16
RIMMA0416.1,3
RIMMA0417.1,2.885
RIMMA0418.1,2.925
RIMMA0421.1,2.715
RIMMA0422.1,3.01
RIMMA0423.1,3.32
RIMMA0424.1,2.695
RIMMA0425.1,2.98
RIMMA0426.1,2.775
RIMMA0428.1,2.99
RIMMA0430.1,2.65
RIMMA0431.1,2.455
RIMMA0433.1,3.15
RIMMA0436.1,2.87
RIMMA0437.1,2.685
RIMMA0438.1,2.875
RIMMA0439.1,2.65
RIMMA0441.1,2.8
RIMMA0462.1,3.065
RIMMA0464.1,2.735
RIMMA0465.1,2.86
RIMMA0466.1,2.875
RIMMA0467.1,2.76
RIMMA0468.1,2.77
RIMMA0473.1,2.75
RIMMA0614.1,3.04
RIMMA0615.1,2.95
RIMMA0616.1,3.105
RIMMA0619.1,3.02
RIMMA0620.1,2.99
RIMMA0621.1,3.015
RIMMA0623.1,2.76
RIMMA0625.1,2.675
RIMMA0626.2,2.775
RIMMA0628.1,3.15
RIMMA0630.1,2.66
RIMMA0656.1,NA
RIMMA0657.1,2.715
RIMMA0658.1,2.905
RIMMA0661.1,2.715
RIMMA0662.1,2.74
RIMMA0663.1,2.71
RIMMA0664.1,NA
RIMMA0665.1,NA
RIMMA0667.1,2.895
RIMMA0668.1,NA
RIMMA0670.1,NA
RIMMA0671.1,2.86
RIMMA0672.1,NA
RIMMA0674.1,2.7
RIMMA0677.1,NA
RIMMA0680.1,3.175
RIMMA0682.1,NA
RIMMA0687.1,NA
RIMMA0690.1,3.335
RIMMA0691.1,3.03
RIMMA0696.1,3.03
RIMMA0700.1,2.935
RIMMA0701.1,3.175
RIMMA0702.1,3.06
RIMMA0703.1,3.005
RIMMA0707.1,NA
RIMMA0708.1,2.92
RIMMA0709.1,3.115
RIMMA0710.1,3.1
RIMMA0712.1,2.915
RIMMA0716.1,3.045
RIMMA0720.1,3.05
RIMMA0721.1,3.18
RIMMA0722.1,NA
RIMMA0727.1,3.045
RIMMA0729.1,3.005
RIMMA0730.1,2.84
RIMMA0731.1,3.175
RIMMA0733.1,3.695
RIMME0021_C10.1,3.0325
RIMME0021_C11.1,3.0325
RIMME0021_C1.1,3.0325
RIMME0021_C12.1,3.0325
RIMME0021_C13.1,3.0325
RIMME0021_C14.1,3.0325
RIMME0021_C2.1,3.0325
RIMME0021_C3.1,3.0325
RIMME0021_C4.1,3.0325
RIMME0021_C6.1,3.0325
RIMME0021_C7.1,3.0325
RIMME0021_C9.1,3.0325
RIMME0026_C10.1,3.08
RIMME0026_C11.1,3.08
RIMME0026_C12.1,3.08
RIMME0026_C14.1,3.08
RIMME0026_C15.1,3.08
RIMME0026_C3.1,3.08
RIMME0026_C4.1,3.08
RIMME0026_C5.1,3.08
RIMME0026_C6.1,3.08
RIMME0026_C7.1,3.08
RIMME0026_C8.1,3.08
RIMME0026_C9.1,3.08
RIMME0028.10,2.795
RIMME0028.13,2.795
RIMME0028.14,2.795
RIMME0028.1,2.795
RIMME0028.2,2.795
RIMME0028.3,2.795
RIMME0028.4,2.795
RIMME0028.5,2.795
RIMME0028.6,2.795
RIMME0028.7,2.795
RIMME0028.8,2.795
RIMME0028.9,2.795
RIMME0029.10,2.76
RIMME0029.11,2.76
RIMME0029.12,2.76
RIMME0029.13,2.76
RIMME0029.14,2.76
RIMME0029.1,2.76
RIMME0029.2,2.76
RIMME0029.3,2.76
RIMME0029.4,2.76
RIMME0029.6,2.76
RIMME0029.8,2.76
RIMME0029.9,2.76
RIMME0030.11,2.945
RIMME0030.12,2.945
RIMME0030.13,2.945
RIMME0030.14,2.945
RIMME0030.1,2.945
RIMME0030.2,2.945
RIMME0030.4,2.945
RIMME0030.5,2.945
RIMME0030.6,2.945
RIMME0030.7,2.945
RIMME0030.8,2.945
RIMME0030.9,2.945
RIMME0031.10,3.1625
RIMME0031.11,3.1625
RIMME0031.12,3.1625
RIMME0031.1,3.1625
RIMME0031.2,3.1625
RIMME0031.3,3.1625
RIMME0031.4,3.1625
RIMME0031.5,3.1625
RIMME0031.6,3.1625
RIMME0031.7,3.1625
RIMME0031.8,3.1625
RIMME0031.9,3.1625
RIMME0032.10,2.84
RIMME0032.12,2.84
RIMME0032.13,2.84
RIMME0032.14,2.84
RIMME0032.15,2.84
RIMME0032.1,2.84
RIMME0032.3,2.84
RIMME0032.4,2.84
RIMME0032.5,2.84
RIMME0032.7,2.84
RIMME0032.8,2.84
RIMME0032.9,NA
RIMME0033.10,2.7175
RIMME0033.11,2.7175
RIMME0033.12,NA
RIMME0033.13,2.7175
RIMME0033.1,2.7175
RIMME0033.3,2.7175
RIMME0033.4,NA
RIMME0033.5,2.7175
RIMME0033.6,2.7175
RIMME0033.7,2.7175
RIMME0033.8,2.7175
RIMME0033.9,2.7175
RIMME0034.10,2.735
RIMME0034.12,2.735
RIMME0034.1,2.735
RIMME0034.2,2.735
RIMME0034.3,2.735
RIMME0034.4,2.735
RIMME0034.5,2.735
RIMME0034.8,2.735
RIMME0034.9,2.735
RIMME0035.10,3.16
RIMME0035.11,3.16
RIMME0035.12,3.16
RIMME0035.1,3.16
RIMME0035.2,3.16
RIMME0035.3,3.16
RIMME0035.4,3.16
RIMME0035.5,3.16
RIMME0035.6,3.16
RIMME0035.7,3.16
RIMME0035.8,3.16
RIMME0035.9,3.16
RIMPA0071.11,3.05
RIMPA0071.12,3.05
RIMPA0071.13,3.05
RIMPA0071.14,3.05
RIMPA0071.16,3.05
RIMPA0071.17,3.05
RIMPA0071.1B,3.05
RIMPA0071.2,3.05
RIMPA0071.3,3.05
RIMPA0071.4,3.05
RIMPA0071.5,3.05
RIMPA0086.10,2.9775
RIMPA0086.11,2.9775
RIMPA0086.13,2.9775
RIMPA0086.1,2.9775
RIMPA0086.2,NA
RIMPA0086.3,2.9775
RIMPA0086.6,2.9775
RIMPA0086.7,2.9775
RIMPA0086.8,2.9775
RIMPA0086.9,2.9775
RIMPA0087.10,2.805
RIMPA0087.11,2.805
RIMPA0087.12,2.805
RIMPA0087.1,2.805
RIMPA0087.2,2.805
RIMPA0087.3,2.805
RIMPA0087.4,2.805
RIMPA0087.5,2.805
RIMPA0087.6,2.805
RIMPA0087.7,2.805
RIMPA0087.8,2.805
RIMPA0087.9,2.805
RIMPA0096.11,3.0375
RIMPA0096.12,3.0375
RIMPA0096.13,3.0375
RIMPA0096.14,3.0375
RIMPA0096.15,3.0375
RIMPA0096.17,3.0375
RIMPA0096.1,3.0375
RIMPA0096.2,3.0375
RIMPA0096.3,3.0375
RIMPA0096.6,3.0375
RIMPA0096.7,3.0375
RIMPA0096.8,3.0375
RIMPA0135.10,3.1475
RIMPA0135.11,3.1475
RIMPA0135.12,3.1475
RIMPA0135.1,3.1475
RIMPA0135.2,3.1475
RIMPA0135.3,3.1475
RIMPA0135.4,3.1475
RIMPA0135.5,3.1475
RIMPA0135.8,3.1475
RIMPA0135.9,NA
RIMPA0142.11,3.115
RIMPA0142.12,3.115
RIMPA0142.13,3.115
RIMPA0142.14,3.115
RIMPA0142.1,3.115
RIMPA0142.2,3.115
RIMPA0142.3,3.115
RIMPA0142.4,3.115
RIMPA0142.6,3.115
RIMPA0142.7,3.115
RIMPA0142.8,3.115
RIMPA0142.9,3.115
RITD0001.1,3.88
