file,total,mapped_corrected,percent
RIMMA0385.1,1328977,29245.75,0.0220062122971278
RIMMA0387.1,424132,7334.5,0.0172929653975649
RIMMA0389.1,736299,13743,0.0186649717030717
RIMMA0395.2,1243517,22394,0.0180085998020132
RIMMA0397.1,516795,9311,0.0180168151781654
RIMMA0404.1,593342,10413,0.0175497436554298
RIMMA0405.1B,964644,18887.3333333333,0.0195795892923538
RIMMA0430.1,729392,14993.5,0.0205561618443855
RIMMA0436.1,1453289,30985.8333333333,0.0213211779166658
RIMMA0438.1,918795,19370.5,0.0210825048024859
RIMMA0439.1,1504510,31145.5,0.0207014243840187
RIMMA0464.1,515752,10309.5,0.0199892584032636
RIMMA0465.1,808164,16508.3333333333,0.0204269595445149
RIMMA0466.1,1035623,20374.8333333333,0.0196739868980636
RIMMA0468.1,876259,16633.25,0.0189821160182092
RIMMA0473.1,1458848,31186.75,0.0213776555199719
RIMMA0614.1,900171,19557,0.021725872084304
RIMMA0615.1,878433,17492,0.0199127309652529
RIMMA0619.1,1237978,23437.5,0.0189320811839952
RIMMA0620.1,735468,13278.25,0.0180541505544769
RIMMA0626.2,1058888,23271.8333333333,0.0219776155111148
RIMMA0656.1,642789,12871.5,0.0200244559256615
RIMMA0657.1,837621,17733.5,0.0211712695837378
RIMMA0662.1,1138894,23510.25,0.0206430536994663
RIMMA0663.1,993813,21113.5,0.0212449424589938
RIMMA0665.1,1040795,23219.25,0.0223091482952935
RIMMA0667.1,885229,18780,0.0212148494909227
RIMMA0668.1,814148,17587.5,0.0216023376585093
RIMMA0671.1,982588,20235,0.0205935753337106
RIMMA0672.1,762477,15735,0.0206366880574758
RIMMA0677.1,1367396,26903.5,0.0196749880795322
RIMMA0680.1,1145651,21925.25,0.0191378089837132
RIMMA0682.1,1545761,29606.5,0.0191533490623712
RIMMA0687.1,968019,18162.5,0.0187625449500475
RIMMA0690.1,1052951,21308.5,0.0202369341023466
RIMMA0691.1,856688,15869,0.0185236632239508
RIMMA0700.1,927371,18596,0.0200523846443333
RIMMA0701.1,1045810,18704.5,0.0178851799083964
RIMMA0702.1,889920,15519,0.0174386461704423
RIMMA0703.1,802214,15109.5,0.0188347498298459
RIMMA0709.1,961929,19402.5,0.0201704075872544
RIMMA0710.1,699791,12705.8333333333,0.0181566115216305
RIMMA0712.1,846341,16761.1666666667,0.0198042711704463
RIMMA0720.1,1539868,29411.6666666667,0.0191001220017993
RIMMA0721.1,498783,8832,0.0177070990791587
RIMMA0722.1,815121,14891.5,0.0182690668011252
RIMMA0727.1,421310,7541,0.0178989342764235
RIMMA0729.1,1142947,22725.5,0.0198832491795333
RIMMA0730.1,857270,16796.5,0.0195930103701284
RIMMA0731.1,895334,17662,0.0197267165102632
RIMMA0733.1,659855,10892.75,0.0165077933788484
